Date,HSN Code,Description,Origin,Destination,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer,Data Source,Original Unit Price (USD),Quantity
8-Apr-24,85042310.0,"EQUIP. /DEVICE 2 X 600 TPD WTE TRANSFORMER,4MVA 11/0.433-0.433KV CONVERTER TRANSFORMER",China,India,41862.865,4000.0,,,,True,Real (Market),83725.73,2
8-Apr-24,85042310.0,EQUIP. /DEVICE 2 X 600 TPD WTE TRANSFORMER 3.15MVA 11/0.433KV DISTRIBUTION TRANSFORMER,China,India,32144.4775,3150.0,,11.0,0.433,True,Real (Market),64288.955,2
8-Apr-24,85042310.0,EQUIP. /DEVICE 2 X 600 TPD WTE TRANSFORMER 28/35MVA 11/132kV GENERATOR TRANSFORMER,China,India,329978.47,35000.0,,11.0,132.0,True,Real (Market),329978.47,1
20-Dec-23,8504230009.0,"SINGLE-PHASE ELECTRICAL TRANSFORMER WITH A POWER OF 533000 KVA WITH LIQUID DIELECTRIC , DESIGNED FOR CONVERTING ELECTRICAL ENERGY OF INDUSTRIAL FREQUENCY 50 Hz. PURPOSE: ELECTRICA...",Russia,India,1518447.55,533000.0,,,,True,Real (Market),1518447.55,1
21-Nov-23,85042310.0,EAF TRANSFORMER 42 MVA SERIAL NO. 64516 FOREIGN ORIGIN GO ARTICLE / ODS / PRODUCT / ITEM FOR REPAIR & TO RETURN FREE OF COST,Italy,India,894031.1,42000.0,,,,True,Real (Market),894031.1,1
22-Aug-23,85042310.0,SUPPLY OF LF TRANSFORMER 15MVA S.N.67844.1/3 PART CARGO,Italy,India,492541.52,15000.0,,,,True,Real (Market),492541.52,1
8-Aug-23,85042310.0,ELECTRICAL TRANSFORMER 12000KVA 33KV/750 V X 4 OIL IMMERSED,Nepal,India,76177.32,12000.0,,33.0,0.75,True,Real (Market),76177.32,1
15-Jul-23,85042310.0,48 MVA TRANSFORMER,Italy,India,797479.62,48000.0,,,,True,Real (Market),797479.62,1
31-May-23,85042310.0,"33/11 KV, 10/13.33 MVA POWER TRANSFORMER TANK WITH OIL SR.NO.TTL/2/13933 -FI213446X67 API",India,India,54978.33,13330.0,,33.0,11.0,True,Real (Market),54978.33,1
17-Apr-23,85042330.0,220KV-132KV 75-105-150 MVA POWER TRANSFORMER PAC CERT.NO:CGM-UMB-SYS:CP-304-OHE-2020 DT.27.09.2022,China,India,942406.42,150000.0,,220.0,132.0,True,Real (Market),942406.42,1
10-Apr-23,85042310.0,48 MVA TRANSFORMER,Italy,India,882070.95,48000.0,,,,True,Real (Market),882070.95,1
27-Mar-23,85042310.0,"16 MVA 33KV/110-245-340V SINGLE PHASE, SHELLFORM, FURNACE TRANSFORMER, IDENTICAL & INTERCHANGEABLE TO THE EXISTING UNITS",Norway,India,1707636.1,16000.0,,,,True,Real (Market),1707636.1,1
3-Mar-23,85042310.0,"IMPACT RECORDER & DRY AIR BOTTLEGOOD IMPORTED ON RETURNABEBASIS AFTER ERECTION, 1 SET SUPPLY OF TRANSFORMER,14 MVA,FU",Italy,India,1973.68,14000.0,,,,True,Real (Market),1973.68,1
