Date,HSN Code,Description,Origin,Destination,Quantity,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer
8-Apr-24,85042310.0,EQUIP. /DEVICE 2 X 600 TPD WTE TRANSFORMER 150KVA 0.415/0.4KV DRY TYPE TRANSFORMER,China,India,1,5476.79,150.0,,0.415,0.4,True
8-Apr-24,85042310.0,"EQUIP. /DEVICE 2 X 600 TPD WTE TRANSFORMER,4MVA 11/0.433-0.433KV CONVERTER TRANSFORMER",China,India,2,167451.46,4000.0,,,,True
8-Apr-24,85042310.0,EQUIP. /DEVICE 2 X 600 TPD WTE TRANSFORMER 3.15MVA 11/0.433KV DISTRIBUTION TRANSFORMER,China,India,2,128577.91,3150.0,,11.0,0.433,True
8-Apr-24,85042310.0,EQUIP. /DEVICE 2 X 600 TPD WTE TRANSFORMER 28/35MVA 11/132kV GENERATOR TRANSFORMER,China,India,1,329978.47,35000.0,,11.0,132.0,True
28-Mar-24,85042310.0,ZERO CURRENT TRANSFORMER-SPARES FOR COLD ROLLING MILL CRMELECTRICAL TRANSFORMER HAVING A POWER HANDLING CAPACITY N,Japan,India,2,1041.93,,,,,True
28-Mar-24,85042310.0,ZERO CURRENT TRANSFORMER S-PARES FOR COLD ROLLING MILL CRMELECTRICAL TRANSFORMER HAVING A POWER HANDLING CAPACITY N,Japan,India,2,784.87,,,,,True
20-Mar-24,85042310.0,33.3MVA 220/132 KV SINGLE PHASE ONAN/ONAF COOLED OIL IMMERSED OUT DOOR TYPE POWER TRANSFORMER WITH MAIN TANK NITROGENINJ,Nepal,India,1,420712.29,33300.0,,220.0,132.0,False
19-Mar-24,85042310.0,33.3 MVA 220/132 KV SINGL PHASE ONAN/ONAF COOLED OIL IMMERSED OUT DOOR TYPE MAIN POWER TRANSFORMER WITH TANK NITROGEN IN,Nepal,India,1,390309.08,33300.0,,220.0,132.0,False
9-Mar-24,85042320.0,CURRENT TRANSFORMERS - CT143M400/5-2. 5/1 14S CT RATIO:400/5VA:2.5 CLASS:1 TYPE:L143-5-K6,United Kingdom,India,120,1409.39,,,400.0,0.005,True
9-Mar-24,85042320.0,CURRENT TRANSFORMERS - CT164M600/5-5/1 16S RATIO:600/5 VA:5CLASS:1 TYPE:164-5-H5,United Kingdom,India,25,373.21,,,600.0,0.005,True
9-Mar-24,85042320.0,CURRENT TRANSFORMERS - CT132M300/5-2. 5/1 13S CT RATIO:C300/5 VA:2.5 CLASS:1 FEET&DIN CLIP,United Kingdom,India,90,936.96,,,300.0,0.005,True
8-Mar-24,85042310.0,33.3MVA 220/132KV SINGLE PHASE.ONAN/ONAF COOLED OIL IMMERSED OUT DOOR TYPE POWER TRANSFORMER WITH MAIN TANK NITROGEN INJ,Nepal,India,1,420712.29,33300.0,,220.0,132.0,False
22-Feb-24,85042340.0,BEAUTY EQUIPMENT SPARE PARTS / ACCESSORIES / COMPONENT 12v POWDER SUPPLY,China,India,17,201.79,,,,,False
22-Feb-24,85042340.0,BEAUTY EQUIPMENT SPARE PARTS / ACCESSORIES / COMPONENT powersupply,China,India,17,605.39,,,,,False
24-Jan-24,85042340.0,MWO 25 17470000001001H.V. TRANSFORMER MICRO WAVE OVENSPARE PART,China,India,35,835.57,,,,,True
20-Dec-23,8504230009.0,"SINGLE-PHASE ELECTRICAL TRANSFORMER WITH A POWER OF 533000 KVA WITH LIQUID DIELECTRIC , DESIGNED FOR CONVERTING ELECTRICAL ENERGY OF INDUSTRIAL FREQUENCY 50 Hz. PURPOSE: ELECTRICA...",Russia,India,,1518447.55,533000.0,,,,True
